Year,DJF,JFM,FMA,MAM,AMJ,MJJ,JJA,JAS,ASO,SON,OND,NDJ
1971,-1.3,-1.3,-1.1,-0.9,-0.8,-0.7,-0.8,-0.7,-0.8,-0.8,-0.9,-0.8
1972,-0.7,-0.4,0,0.3,0.6,0.8,1.1,1.3,1.5,1.8,2,1.9
1973,1.7,1.2,0.6,0,-0.4,-0.8,-1,-1.2,-1.4,-1.7,-1.9,-1.9
1974,-1.7,-1.5,-1.2,-1,-0.9,-0.8,-0.6,-0.4,-0.4,-0.6,-0.7,-0.6
1975,-0.5,-0.5,-0.6,-0.6,-0.7,-0.8,-1,-1.1,-1.3,-1.4,-1.5,-1.6
1976,-1.5,-1.1,-0.7,-0.4,-0.3,-0.1,0.1,0.3,0.5,0.7,0.8,0.8
1977,0.7,0.6,0.4,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.8,0.8
1978,0.7,0.4,0.1,-0.2,-0.3,-0.3,-0.4,-0.4,-0.4,-0.3,-0.1,0
1979,0,0.1,0.2,0.3,0.3,0.1,0.1,0.2,0.3,0.5,0.5,0.6
1980,0.6,0.5,0.3,0.4,0.5,0.5,0.3,0.2,0,0.1,0.1,0
1981,-0.2,-0.4,-0.4,-0.3,-0.2,-0.3,-0.3,-0.3,-0.2,-0.1,-0.1,0
1982,0,0.1,0.2,0.5,0.6,0.7,0.8,1,1.5,1.9,2.1,2.1
1983,2.1,1.8,1.5,1.2,1,0.7,0.3,0,-0.3,-0.6,-0.8,-0.8
1984,-0.5,-0.3,-0.3,-0.4,-0.4,-0.4,-0.3,-0.2,-0.3,-0.6,-0.9,-1.1
1985,-0.9,-0.7,-0.7,-0.7,-0.7,-0.6,-0.4,-0.4,-0.4,-0.3,-0.2,-0.3
1986,-0.4,-0.4,-0.3,-0.2,-0.1,0,0.2,0.4,0.7,0.9,1,1.1
1987,1.1,1.2,1.1,1,0.9,1.1,1.4,1.6,1.6,1.4,1.2,1.1
1988,0.8,0.5,0.1,-0.3,-0.8,-1.2,-1.2,-1.1,-1.2,-1.4,-1.7,-1.8
1989,-1.6,-1.4,-1.1,-0.9,-0.6,-0.4,-0.3,-0.3,-0.3,-0.3,-0.2,-0.1
1990,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.3,0.4,0.4
1991,0.4,0.3,0.2,0.2,0.4,0.6,0.7,0.7,0.7,0.8,1.2,1.4
1992,1.6,1.5,1.4,1.2,1,0.8,0.5,0.2,0,-0.1,-0.1,0
1993,0.2,0.3,0.5,0.7,0.8,0.6,0.3,0.2,0.2,0.2,0.1,0.1
1994,0.1,0.1,0.2,0.3,0.4,0.4,0.4,0.4,0.4,0.6,0.9,1
1995,0.9,0.7,0.5,0.3,0.2,0,-0.2,-0.5,-0.7,-0.9,-1,-0.9
1996,-0.9,-0.7,-0.6,-0.4,-0.2,-0.2,-0.2,-0.3,-0.3,-0.4,-0.4,-0.5
1997,-0.5,-0.4,-0.2,0.1,0.6,1,1.4,1.7,2,2.2,2.3,2.3
1998,2.1,1.8,1.4,1,0.5,-0.1,-0.7,-1,-1.2,-1.2,-1.3,-1.4
1999,-1.4,-1.2,-1,-0.9,-0.9,-1,-1,-1,-1.1,-1.2,-1.4,-1.6
2000,-1.6,-1.4,-1.1,-0.9,-0.7,-0.7,-0.6,-0.5,-0.6,-0.7,-0.8,-0.8
2001,-0.7,-0.5,-0.4,-0.3,-0.2,-0.1,-0.1,-0.1,-0.2,-0.3,-0.4,-0.3
2002,-0.2,0,0.1,0.2,0.4,0.6,0.8,0.8,0.9,1.1,1.2,1.1
2003,0.9,0.7,0.4,0,-0.2,-0.1,0.1,0.2,0.2,0.3,0.3,0.3
2004,0.3,0.3,0.2,0.1,0.2,0.3,0.5,0.6,0.7,0.7,0.6,0.7
2005,0.7,0.6,0.5,0.5,0.3,0.2,0,-0.1,0,-0.2,-0.5,-0.7
2006,-0.7,-0.6,-0.4,-0.2,0,0,0.1,0.3,0.5,0.7,0.9,0.9
2007,0.7,0.4,0.1,-0.1,-0.2,-0.3,-0.4,-0.6,-0.9,-1.1,-1.3,-1.3
2008,-1.4,-1.3,-1.1,-0.9,-0.7,-0.5,-0.4,-0.3,-0.3,-0.4,-0.6,-0.7
2009,-0.7,-0.6,-0.4,-0.1,0.2,0.4,0.5,0.5,0.6,0.9,1.1,1.3
2010,1.3,1.2,0.9,0.5,0,-0.4,-0.9,-1.2,-1.4,-1.5,-1.4,-1.4
2011,-1.3,-1,-0.7,-0.5,-0.4,-0.3,-0.3,-0.6,-0.8,-0.9,-1,-0.9
2012,-0.7,-0.5,-0.4,-0.4,-0.3,-0.1,0.1,0.3,0.3,0.3,0.1,-0.2
2013,-0.4,-0.4,-0.3,-0.2,-0.2,-0.2,-0.3,-0.3,-0.2,-0.3,-0.3,-0.3
2014,-0.5,-0.5,-0.4,-0.2,-0.1,0,-0.1,0,0.1,0.4,0.5,0.6
2015,0.6,0.5,0.6,0.7,0.8,1,1.2,1.4,1.7,2,2.2,2.3
2016,2.2,2,1.6,1.1,0.6,0.1,-0.3,-0.6,-0.8,-0.8,-0.8,-0.7
